iter	Passed	Remaining
0	66795	66728285
1	114683	57227224
2	166352	55284503
3	234420	58370775
4	277735	55269271
5	315482	52264969
6	356172	50525659
7	395161	49000041
8	433698	47755061
9	476405	47164177
10	514264	46237071
11	549445	45237711
12	600633	45601934
13	640222	45089957
14	684652	44958877
15	723900	44519874
16	768482	44436365
17	811955	44296670
18	855439	44167710
19	892152	43715484
20	929898	43350991
21	967149	42994184
22	1002930	42602745
23	1033155	42014973
24	1065958	41572362
25	1108248	41516692
26	1149599	41428162
27	1289377	44759813
28	1435322	48058573
29	1582476	51166746
30	1711435	53496170
31	1771667	53592948
32	1820854	53356566
33	1971916	56025613
34	2108570	58136288
35	2153452	57664666
36	2199481	57245973
37	2246397	56869335
38	2277640	56123389
39	2312272	55494528
40	2347127	54899878
41	2382155	54335833
42	2418023	53815091
43	2462258	53498164
44	2500049	53056596
45	2535853	52591392
46	2635987	53448843
47	2705398	53657076
48	2779828	53951361
49	2905264	55200022
50	2970992	55283770
51	3022535	55103149
52	3146255	56217054
53	3287373	57589912
54	3329672	57209826
55	3365457	56732006
56	3424570	56655605
57	3466963	56308268
58	3508010	55949800
59	3627687	56833768
60	3749679	57720470
61	3874287	58614222
62	4002541	59529855
63	4120110	60256613
64	4223257	60749934
65	4346592	61510872
66	4451755	61992357
67	4498583	61657062
68	4541347	61275285
69	4579782	60845677
70	4610494	60326044
71	4646699	59890798
72	4683735	59477027
73	4715693	59009898
74	4762885	58742253
75	4796938	58320673
76	4828281	57876669
77	4868311	57545935
78	4904863	57182012
79	4937923	56786123
80	4969565	56383095
81	4998187	55955319
82	5036804	55647588
83	5066152	55245184
84	5101131	54912177
85	5130177	54523050
86	5158757	54137303
87	5191776	53805682
88	5226266	53495825
89	5252407	53107680
90	5280946	52751437
91	5313691	52443824
92	5349211	52169195
93	5381549	51868977
94	5418105	51614582
95	5452904	51348183
96	5486107	51071705
97	5519927	50805860
98	5546423	50478059
99	5600947	50408530
100	5642133	50220570
101	5675966	49970765
102	5726439	49870057
103	5761310	49635906
104	5796472	49408028
105	5831781	49185025
106	5865602	48953109
107	5901484	48741894
108	5938244	48541059
109	5976923	48358746
110	6029501	48290330
111	6062055	48063441
112	6103539	47910084
113	6139386	47714882
114	6173006	47505312
115	6209110	47317703
116	6247344	47148759
117	6286593	46989619
118	6327529	46844986
119	6366025	46684188
120	6403826	46520358
121	6444186	46377015
122	6481002	46210073
123	6524710	46093919
124	6563041	45941290
125	6609322	45845615
126	6652440	45728978
127	6693216	45597540
128	6745435	45544762
129	6781082	45381087
130	6814122	45202080
131	6847628	45028347
132	6878058	44836667
133	6908896	44650031
134	6946426	44508586
135	6977603	44328306
136	7016456	44198551
137	7057657	44084790
138	7089958	43916937
139	7122976	43755428
140	7158571	43611439
141	7195818	43478958
142	7281707	43639325
143	7320146	43514206
144	7359629	43396435
145	7397419	43269834
146	7434459	43140094
147	7469960	43002746
148	7510805	42897285
149	7544067	42749717
150	7581463	42626906
151	7619843	42510703
152	7659917	42404900
153	7699067	42294876
154	7738606	42187886
155	7768431	42029205
156	7805048	41908634
157	7842462	41793374
158	7887764	41720818
159	7923948	41600728
160	7962210	41492512
161	7996263	41363388
162	8025308	41209714
163	8054420	41057901
164	8089944	40940024
165	8120914	40800255
166	8151108	40657922
167	8183305	40526846
168	8221008	40424011
169	8257741	40317207
170	8295822	40217759
171	8326395	40082880
172	8360420	39965711
173	8398978	39871014
174	8436350	39771364
175	8474194	39674635
176	8507728	39558533
177	8542345	39448359
178	8577552	39341736
179	8608430	39216182
180	8640993	39099300
181	8671346	38973415
182	8711483	38892253
183	8741949	38768645
184	8774790	38656509
185	8807467	38544508
186	8841839	38440725
187	8878936	38349448
188	8917271	38264060
189	8953482	38170110
190	8988063	38069861
191	9026202	37985267
192	9066224	37909032
193	9096988	37794704
194	9133344	37704318
195	9170353	37617165
196	9207279	37530180
197	9250955	37471042
198	9290787	37396588
199	9331843	37327374
200	9376042	37270935
201	9415382	37195423
202	9459040	37137216
203	9495534	37051201
204	9529160	36954549
205	9563961	36863034
206	9600352	36778162
207	9633765	36682414
208	9666113	36583234
209	9700322	36491691
210	9746454	36445274
211	9786015	36374433
212	9825266	36302744
213	9859138	36211602
214	9892861	36120446
215	9927517	36033211
216	9962761	35948581
217	9995343	35854855
218	10031452	35774266
219	10061598	35672941
220	10095078	35584010
221	10132144	35508145
222	10169934	35435153
223	10203723	35348612
224	10240636	35273302
225	10286759	35229876
226	10315225	35126295
227	10355389	35062985
228	10390887	34984165
229	10425201	34901761
230	10465458	34839557
231	10505604	34777172
232	10544926	34712268
233	10585782	34652604
234	10623151	34581748
235	10658366	34504203
236	10695582	34433456
237	10730507	34355657
238	10761077	34264351
239	10790315	34169331
240	10828236	34102203
241	10866139	34035264
242	10899122	33953232
243	10937048	33886919
244	10979309	33834199
245	11019896	33776430
246	11052216	33693599
247	11084357	33610633
248	11120966	33541550
249	11157251	33471755
250	11190441	33392989
251	11219541	33302449
252	11251937	33222122
253	11287284	33150844
254	11325483	33088175
255	11361624	33019721
256	11392061	32935025
257	11430221	32872963
258	11471066	32818764
259	11506851	32750268
260	11543361	32684076
261	11573285	32599560
262	11613942	32545535
263	11661036	32509555
264	11701228	32454351
265	11734777	32380927
266	11765528	32300120
267	11795862	32218550
268	11831413	32151536
269	11860239	32066574
270	11896495	32002011
271	11934180	31941481
272	11960857	31851806
273	11995505	31783710
274	12043954	31752244
275	12076844	31679839
276	12113710	31618095
277	12146652	31546343
278	12180669	31477644
279	12209041	31394679
280	12243811	31328470
281	12278552	31262414
282	12317823	31208054
283	12348913	31133175
284	12387189	31076633
285	12428056	31026687
286	12462252	30960230
287	12502049	30907845
288	12538109	30846353
289	12572053	30779855
290	12607393	30716982
291	12643862	30657035
292	12680957	30598761
293	12721195	30548177
294	12755581	30483678
295	12794585	30430365
296	12847267	30409526
297	12889971	30364966
298	12935273	30326511
299	12969380	30261887
300	13005182	30201404
301	13049292	30160285
302	13086135	30102429
303	13122119	30042747
304	13158865	29984956
305	13192654	29920595
306	13225375	29854022
307	13256068	29783113
308	13287536	29714199
309	13325376	29659708
310	13368014	29615954
311	13398734	29545927
312	13437841	29494560
313	13474992	29438996
314	13503508	29364773
315	13534599	29296412
316	13567316	29231788
317	13600451	29168262
318	13632755	29103154
319	13659798	29027072
320	13696619	28971977
321	13730569	28910949
322	13768922	28859320
323	13809901	28813252
324	13848434	28762132
325	13885011	28707048
326	13914785	28638076
327	13959139	28599211
328	13995641	28544303
329	14046604	28518862
330	14085440	28468760
331	14124965	28420111
332	14151992	28346482
333	14180813	28276712
334	14224291	28236279
335	14261044	28182540
336	14301374	28135937
337	14338892	28083866
338	14372300	28023865
339	14409677	27971727
340	14437509	27901227
341	14487408	27873434
342	14520547	27813409
343	14557504	27760822
344	14585002	27690366
345	14612689	27620516
346	14646290	27562039
347	14681710	27507111
348	14715786	27449790
349	14784435	27456808
350	14817548	27397690
351	14852960	27342950
352	14885130	27282377
353	14926844	27239382
354	14978399	27214274
355	15018061	27167504
356	15060706	27126146
357	15103972	27085895
358	15142710	27037541
359	15182875	26991778
360	15219404	26939610
361	15258766	26892522
362	15297051	26843585
363	15339846	26802588
364	15386118	26767629
365	15425197	26720151
366	15487887	26713440
367	15526879	26665727
368	15568914	26623266
369	15607938	26575678
370	15646135	26526736
371	15684556	26478229
372	15724262	26431937
373	15761305	26381223
374	15799221	26332035
375	15858319	26318062
376	15906645	26286047
377	15936046	26222807
378	15971500	26169662
379	16015488	26130533
380	16060941	26093759
381	16108837	26060894
382	16150458	26017840
383	16184719	25962987
384	16219259	25908686
385	16257679	25860661
386	16297737	25815280
387	16331705	25760318
388	16370666	25713308
389	16409984	25666898
390	16450013	25621632
391	16490357	25576880
392	16526467	25525613
393	16582113	25504468
394	16616731	25450942
395	16651134	25397185
396	16689746	25349916
397	16726257	25299514
398	16760870	25246323
399	16800105	25200158
400	16840655	25155992
401	16878766	25108214
402	16914806	25057418
403	16948658	25003466
404	16981082	24947516
405	17009512	24885838
406	17046977	24837487
407	17090475	24797944
408	17121544	24740422
